jablka,25,75,0.82,61.5
pomarancze,10,50,0.74,37
arbuzy,30,150,0.6,90
winogrona,5,55,0.67,36.85
melony,10,80,0.58,46.4
awokado,10,70,0.5,35
gruszki,4,20,0.8,16
cytryny,3,12,0.78,9.36
brzoskwinie,10,110,0.7,77
mandarynki,7,56,0.75,42
banany,15,75,0.72,54
kiwi,5,60,0.53,31.8
sliwki,10,80,0.65,52
truskawki,20,300,0.87,261
pomidory,15,75,0.78,58.5
ziemniaki,35,35,0.93,32.55
cebula,23,23,0.8,18.4
buraki,12,24,0.64,15.36
marchewki,8,16,0.7,11.2
ogorki,10,70,0.7,49
papryka,5,40,0.65,26
pietruszka,5,25,0.6,15
seler,6,12,0.57,6.84
pieczarki,8,56,0.54,30.24
cukinie,10,80,0.5,40
morele,7,35,0.63,22.05
czeresnie,20,200,0.76,152
wisnie,20,200,0.7,140
mango,5,75,0.64,48
por,20,80,0.78,62.4
kukurydza,22,110,0.68,74.8
porzeczki,10,50,0.52,26
poziomki,5,100,0.6,60
maliny,15,300,0.83,249
borowki,7,140,0.83,116.2
marakuja,4,80,0.43,34.4
liczi,3,60,0.56,33.6
pomelo,6,60,0.6,36
brokuly,21,210,0.71,149.1
kalafior,16,192,0.67,128.64
jablka2,20,80,0.73,58.4
pomarancze2,5,30,0.76,22.8
arbuzy2,10,40,0.7,28
winogrona2,25,225,0.71,159.75
melony2,20,140,0.58,81.2
awokado2,20,100,0.6,60
gruszki2,7,49,0.65,31.85
cytryny2,5,25,0.7,17.5
brzoskwinie2,15,120,0.76,91.2
mandarynki2,7,56,0.75,42
banany2,10,40,0.79,31.6
kiwi2,10,100,0.62,62
sliwki2,25,250,0.6,150
truskawki2,33,396,0.84,332.64
pomidory2,10,50,0.69,34.5
ziemniaki2,50,55,0.9,49.5
cebula2,10,15,0.72,10.8
buraki2,22,66,0.53,34.98
marchewki2,10,25,0.64,16
ogorki2,7,42,0.76,31.92
papryka2,10,70,0.7,49
pietruszka2,10,40,0.71,28.4
seler2,10,20,0.57,11.4
pieczarki2,19,152,0.42,63.84
cukinie2,4,40,0.39,15.6
morele2,10,60,0.54,32.4
czeresnie2,10,80,0.87,69.6
wisnie2,10,80,0.8,64
mango2,21,420,0.64,268.8
por2,10,30,0.83,24.9
kukurydza2,13,130,0.41,53.3
porzeczki2,15,75,0.5,37.5
poziomki2,10,150,0.76,114
maliny2,5,75,0.91,68.25
borowki2,10,190,0.81,153.9
marakuja2,6,90,0.51,45.9
liczi2,4,60,0.62,37.2
pomelo2,10,90,0.62,55.8
brokuly2,12,108,0.8,86.4
kalafior2,10,100,0.75,75
jablka3,10,15,0.94,14.1
pomarancze3,5,20,0.8,16
arbuzy3,6,36,0.54,19.44
winogrona3,10,120,0.6,72
melony3,6,54,0.43,23.22
awokado3,4,20,0.68,13.6
gruszki3,12,48,0.83,39.84
cytryny3,6,30,0.7,21
brzoskwinie3,20,160,0.78,124.8
mandarynki3,9,56,0.86,48.16
banany3,15,45,0.89,40.05
kiwi3,10,100,0.68,68
sliwki3,15,105,0.7,73.5
truskawki3,30,300,0.98,294
pomidory3,20,100,0.78,78
ziemniaki3,20,15,0.99,14.85
cebula3,30,20,0.87,17.4
buraki3,6,24,0.51,12.24
marchewki3,16,16,0.84,13.44
ogorki3,10,60,0.8,48
papryka3,10,60,0.76,45.6
pietruszka3,10,55,0.54,29.7
seler3,8,24,0.47,11.28
pieczarki3,5,30,0.67,20.1
cukinie3,20,140,0.61,85.4
morele3,7,42,0.53,22.26
czeresnie3,20,180,0.8,144
wisnie3,20,180,0.76,136.8
mango3,3,60,0.7,42
por3,20,80,0.78,62.4
kukurydza3,22,110,0.68,74.8
porzeczki3,15,90,0.46,41.4
poziomki3,5,75,0.78,58.5
maliny3,5,100,0.83,83
borowki3,5,75,0.8,60
marakuja3,2,40,0.56,22.4
liczi3,4,60,0.62,37.2
pomelo3,15,120,0.7,84
brokuly3,8,64,0.78,49.92
kalafior3,8,64,0.72,46.08
jablka4,20,50,0.84,42
pomarancze4,5,35,0.71,24.85
arbuzy4,10,30,0.81,24.3
winogrona4,10,100,0.7,70
melony4,6,36,0.62,22.32
awokado4,9,72,0.67,48.24
gruszki4,10,65,0.72,46.8
cytryny4,8,48,0.76,36.48
brzoskwinie4,10,70,0.81,56.7
mandarynki4,5,30,0.82,24.6
banany4,12,72,0.64,46.08
kiwi4,15,135,0.65,87.75
sliwki4,10,110,0.48,52.8
truskawki4,11,121,0.89,107.69
pomidory4,10,35,0.81,28.35
ziemniaki4,100,99,0.93,92.07
cebula4,10,18,0.67,12.06
buraki4,13,65,0.5,32.5
marchewki4,10,30,0.6,18
ogorki4,7,35,0.81,28.35
papryka4,2,20,0.57,11.4
pietruszka4,3,9,0.75,6.75
seler4,20,50,0.48,24
pieczarki4,10,60,0.67,40.2
cukinie4,5,45,0.45,20.25
morele4,10,70,0.43,30.1
czeresnie4,5,50,0.8,40
wisnie4,5,50,0.76,38
mango4,15,225,0.68,153
por4,10,25,0.87,21.75
kukurydza4,8,64,0.57,36.48
porzeczki4,4,16,0.7,11.2
poziomki4,10,120,0.8,96
maliny4,7,112,0.8,89.6
borowki4,5,75,0.9,67.5
marakuja4,6,90,0.51,45.9
liczi4,4,48,0.7,33.6
pomelo4,7,49,0.76,37.24
brokuly4,12,108,0.8,86.4
kalafior4,10,100,0.75,75
