jablka,25,75,0.82,61.5
pomarancze,10,50,0.74,37
arbuzy,30,150,0.6,90
winogrona,5,55,0.67,36.85
melony,10,80,0.58,46.4
awokado,10,70,0.5,35
gruszki,4,20,0.8,16
cytryny,3,12,0.78,9.36
brzoskwinie,10,110,0.7,77
mandarynki,7,56,0.75,42
banany,15,75,0.72,54
kiwi,5,60,0.53,31.8
sliwki,10,80,0.65,52
truskawki,20,300,0.87,261
pomidory,15,75,0.78,58.5
ziemniaki,35,35,0.93,32.55
cebula,23,23,0.8,18.4
buraki,12,24,0.64,15.36
marchewki,8,16,0.7,11.2
ogorki,10,70,0.7,49
papryka,5,40,0.65,26
pietruszka,5,25,0.6,15
seler,6,12,0.57,6.84
pieczarki,8,56,0.54,30.24
cukinie,10,80,0.5,40
morele,7,35,0.63,22.05
czeresnie,20,200,0.76,152
wisnie,20,200,0.7,140
mango,5,75,0.64,48
por,20,80,0.78,62.4
kukurydza,22,110,0.68,74.8
porzeczki,10,50,0.52,26
poziomki,5,100,0.6,60
maliny,15,300,0.83,249
borowki,7,140,0.83,116.2
marakuja,4,80,0.43,34.4
liczi,3,60,0.56,33.6
pomelo,6,60,0.6,36
brokuly,21,210,0.71,149.1
kalafior,16,192,0.67,128.64
jablka2,20,80,0.73,58.4
pomarancze2,5,30,0.76,22.8
arbuzy2,10,40,0.7,28
winogrona2,25,225,0.71,159.75
melony2,20,140,0.58,81.2
awokado2,20,100,0.6,60
gruszki2,7,49,0.65,31.85
cytryny2,5,25,0.7,17.5
brzoskwinie2,15,120,0.76,91.2
mandarynki2,7,56,0.75,42
banany2,10,40,0.79,31.6
kiwi2,10,100,0.62,62
sliwki2,25,250,0.6,150
truskawki2,33,396,0.84,332.64
pomidory2,10,50,0.69,34.5
ziemniaki2,50,55,0.9,49.5
cebula2,10,15,0.72,10.8
buraki2,22,66,0.53,34.98
marchewki2,10,25,0.64,16
ogorki2,7,42,0.76,31.92
papryka2,10,70,0.7,49
pietruszka2,10,40,0.71,28.4
seler2,10,20,0.57,11.4
pieczarki2,19,152,0.42,63.84
cukinie2,4,40,0.39,15.6
morele2,10,60,0.54,32.4
czeresnie2,10,80,0.87,69.6
wisnie2,10,80,0.8,64
mango2,21,420,0.64,268.8
por2,10,30,0.83,24.9
kukurydza2,13,130,0.41,53.3
porzeczki2,15,75,0.5,37.5
poziomki2,10,150,0.76,114
maliny2,5,75,0.91,68.25
borowki2,10,190,0.81,153.9
marakuja2,6,90,0.51,45.9
liczi2,4,60,0.62,37.2
pomelo2,10,90,0.62,55.8
brokuly2,12,108,0.8,86.4
kalafior2,10,100,0.75,75
